"","ipdN","st","epiyrN","cmlevel","epiyr","agec","offset","cm.age.level"
"254",0,"10A",4,"0",1995,3,16.66457298,"0_3"
"255",1,"10A",5,"0",1996,3,16.523171012,"0_3"
"256",0,"10A",6,"0",1997,3,16.376828924,"0_3"
"257",0,"10A",7,"0",1998,3,16.186848417,"0_3"
"258",1,"10A",8,"0",1999,3,16.000817867,"0_3"
"259",0,"10A",9,"0",2000,3,15.861416719,"0_3"
"260",0,"10A",10,"0",2001,3,15.618257222,"0_3"
"261",0,"10A",11,"0",2002,3,15.15782232,"0_3"
"262",0,"10A",12,"0",2003,3,14.995921753,"0_3"
"263",0,"10A",13,"0",2004,3,14.657923019,"0_3"
"264",0,"10A",14,"0",2005,3,14.317432061,"0_3"
"265",0,"10A",15,"0",2006,3,14.12524431,"0_3"
"266",0,"10A",16,"0",2007,3,13.926060477,"0_3"
"267",1,"10A",17,"0",2008,3,13.757657678,"0_3"
"268",0,"10A",18,"0",2009,3,13.717970984,"0_3"
"269",0,"10A",19,"0",2010,3,13.651126336,"0_3"
"270",0,"10A",20,"0",2011,3,13.734218608,"0_3"
"271",0,"10A",21,"0",2012,3,13.387056507,"0_3"
"272",2,"10A",22,"0",2013,3,13.559024561,"0_3"
"273",0,"10A",23,"0",2014,3,13.54056408,"0_3"
"274",0,"10A",3,"0",1994,4,15.665018012,"0_4"
"275",0,"10A",4,"0",1995,4,15.597572349,"0_4"
"276",2,"10A",5,"0",1996,4,15.593949224,"0_4"
"277",0,"10A",6,"0",1997,4,15.660884235,"0_4"
"278",1,"10A",7,"0",1998,4,15.723167798,"0_4"
"279",1,"10A",8,"0",1999,4,15.668574231,"0_4"
"280",2,"10A",9,"0",2000,4,15.80200898,"0_4"
"281",1,"10A",10,"0",2001,4,15.716195109,"0_4"
"282",0,"10A",11,"0",2002,4,15.769854869,"0_4"
"283",1,"10A",12,"0",2003,4,15.819028436,"0_4"
"284",0,"10A",13,"0",2004,4,15.847260295,"0_4"
"285",2,"10A",14,"0",2005,4,15.96373429,"0_4"
"286",0,"10A",15,"0",2006,4,15.801552925,"0_4"
"287",1,"10A",16,"0",2007,4,16.13765724,"0_4"
"288",3,"10A",17,"0",2008,4,16.216911134,"0_4"
"289",2,"10A",18,"0",2009,4,16.203912793,"0_4"
"290",0,"10A",19,"0",2010,4,16.048324531,"0_4"
"291",1,"10A",20,"0",2011,4,15.964682681,"0_4"
"292",0,"10A",21,"0",2012,4,15.550009852,"0_4"
"293",1,"10A",22,"0",2013,4,15.571061719,"0_4"
"294",1,"10A",23,"0",2014,4,15.476875158,"0_4"
"295",4,"10A",3,"0",1994,5,7.4809243881,"0_5"
"296",1,"10A",4,"0",1995,5,7.1015717027,"0_5"
"297",2,"10A",5,"0",1996,5,6.8974275346,"0_5"
"298",1,"10A",6,"0",1997,5,6.5271807311,"0_5"
"299",2,"10A",7,"0",1998,5,6.2238996305,"0_5"
"300",2,"10A",8,"0",1999,5,6.3038500377,"0_5"
"301",1,"10A",9,"0",2000,5,6.0370032854,"0_5"
"302",0,"10A",10,"0",2001,5,5.7579571837,"0_5"
"303",2,"10A",11,"0",2002,5,5.982842126,"0_5"
"304",0,"10A",12,"0",2003,5,5.9364561538,"0_5"
"305",0,"10A",13,"0",2004,5,5.6612443952,"0_5"
"306",1,"10A",14,"0",2005,5,5.6695741466,"0_5"
"307",2,"10A",15,"0",2006,5,5.6999280906,"0_5"
"308",0,"10A",16,"0",2007,5,5.8015548983,"0_5"
"309",1,"10A",17,"0",2008,5,5.6456305085,"0_5"
"310",0,"10A",18,"0",2009,5,5.8452740828,"0_5"
"311",0,"10A",19,"0",2010,5,5.9167944175,"0_5"
"312",2,"10A",20,"0",2011,5,6.0759722603,"0_5"
"313",1,"10A",21,"0",2012,5,6.3098332143,"0_5"
"314",5,"10A",22,"0",2013,5,6.2753467021,"0_5"
"315",4,"10A",23,"0",2014,5,6.5785309683,"0_5"
"316",0,"10A",3,"1",1994,1,0.0276886219,"1_1"
"317",0,"10A",4,"1",1995,1,0.041723642,"1_1"
"318",0,"10A",5,"1",1996,1,0.0634750446,"1_1"
"319",0,"10A",6,"1",1997,1,0.0796744152,"1_1"
"320",1,"10A",7,"1",1998,1,0.0771720421,"1_1"
"321",0,"10A",8,"1",1999,1,0.0548611869,"1_1"
"322",0,"10A",9,"1",2000,1,0.061803858,"1_1"
"323",0,"10A",10,"1",2001,1,0.067816653,"1_1"
"324",0,"10A",11,"1",2002,1,0.087807675,"1_1"
"325",0,"10A",12,"1",2003,1,0.0701329203,"1_1"
"326",0,"10A",13,"1",2004,1,0.0681970872,"1_1"
"327",0,"10A",14,"1",2005,1,0.0665588171,"1_1"
"328",0,"10A",15,"1",2006,1,0.0581722034,"1_1"
"329",0,"10A",16,"1",2007,1,0.0636595068,"1_1"
"330",0,"10A",17,"1",2008,1,0.0982766322,"1_1"
"331",0,"10A",18,"1",2009,1,0.0817989669,"1_1"
"332",0,"10A",19,"1",2010,1,0.089273281,"1_1"
"333",0,"10A",20,"1",2011,1,0.0969715289,"1_1"
"334",0,"10A",21,"1",2012,1,0.0832087687,"1_1"
"335",0,"10A",22,"1",2013,1,0.0597873781,"1_1"
"336",0,"10A",23,"1",2014,1,0.0781093398,"1_1"
"337",0,"10A",3,"1",1994,2,0.0753368526,"1_2"
"338",0,"10A",4,"1",1995,2,0.0858034378,"1_2"
"339",0,"10A",5,"1",1996,2,0.1334006244,"1_2"
"340",0,"10A",6,"1",1997,2,0.1803149847,"1_2"
"341",1,"10A",7,"1",1998,2,0.2597671055,"1_2"
"342",0,"10A",8,"1",1999,2,0.3096293307,"1_2"
"343",0,"10A",9,"1",2000,2,0.4222471636,"1_2"
"344",0,"10A",10,"1",2001,2,0.4934907813,"1_2"
"345",1,"10A",11,"1",2002,2,0.5057292697,"1_2"
"346",0,"10A",12,"1",2003,2,0.5407914632,"1_2"
"347",0,"10A",13,"1",2004,2,0.5496298925,"1_2"
"348",0,"10A",14,"1",2005,2,0.6192745251,"1_2"
"349",0,"10A",15,"1",2006,2,0.6825757116,"1_2"
"350",0,"10A",16,"1",2007,2,0.7120789526,"1_2"
"351",0,"10A",17,"1",2008,2,0.6834665348,"1_2"
"352",0,"10A",18,"1",2009,2,0.71848209,"1_2"
"353",0,"10A",19,"1",2010,2,0.7333053653,"1_2"
"354",0,"10A",20,"1",2011,2,0.8068415399,"1_2"
"355",0,"10A",21,"1",2012,2,0.775487157,"1_2"
"356",0,"10A",22,"1",2013,2,0.6884598592,"1_2"
"357",0,"10A",23,"1",2014,2,0.7412121041,"1_2"
"358",0,"10A",3,"1",1994,3,0.1606494907,"1_3"
"359",0,"10A",4,"1",1995,3,0.2728170201,"1_3"
"360",0,"10A",5,"1",1996,3,0.4201389878,"1_3"
"361",0,"10A",6,"1",1997,3,0.5278910758,"1_3"
"362",0,"10A",7,"1",1998,3,0.6356815827,"1_3"
"363",0,"10A",8,"1",1999,3,0.7159121326,"1_3"
"364",0,"10A",9,"1",2000,3,0.7105632814,"1_3"
"365",0,"10A",10,"1",2001,3,0.7748927778,"1_3"
"366",0,"10A",11,"1",2002,3,1.0510376798,"1_3"
"367",0,"10A",12,"1",2003,3,1.0145482467,"1_3"
"368",0,"10A",13,"1",2004,3,1.1181069806,"1_3"
"369",0,"10A",14,"1",2005,3,1.2185679389,"1_3"
"370",1,"10A",15,"1",2006,3,1.1856956902,"1_3"
"371",0,"10A",16,"1",2007,3,1.1812895229,"1_3"
"372",0,"10A",17,"1",2008,3,1.3101223223,"1_3"
"373",0,"10A",18,"1",2009,3,1.4113490164,"1_3"
"374",0,"10A",19,"1",2010,3,1.4989036643,"1_3"
"375",0,"10A",20,"1",2011,3,1.4848713916,"1_3"
"376",0,"10A",21,"1",2012,3,1.8428934932,"1_3"
"377",0,"10A",22,"1",2013,3,1.7149754386,"1_3"
"378",0,"10A",23,"1",2014,3,1.8374159202,"1_3"
"379",0,"10A",3,"1",1994,4,0.4938619877,"1_4"
"380",0,"10A",4,"1",1995,4,0.7453476511,"1_4"
"381",0,"10A",5,"1",1996,4,0.9725707762,"1_4"
"382",0,"10A",6,"1",1997,4,1.1178057653,"1_4"
"383",1,"10A",7,"1",1998,4,1.2566422024,"1_4"
"384",0,"10A",8,"1",1999,4,1.5160357694,"1_4"
"385",2,"10A",9,"1",2000,4,1.5630410204,"1_4"
"386",1,"10A",10,"1",2001,4,1.8542848906,"1_4"
"387",0,"10A",11,"1",2002,4,1.9897251309,"1_4"
"388",1,"10A",12,"1",2003,4,2.1290315636,"1_4"
"389",1,"10A",13,"1",2004,4,2.3177097047,"1_4"
"390",4,"10A",14,"1",2005,4,2.4343957097,"1_4"
"391",3,"10A",15,"1",2006,4,2.8261670746,"1_4"
"392",0,"10A",16,"1",2007,4,2.7392827603,"1_4"
"393",3,"10A",17,"1",2008,4,2.7879688659,"1_4"
"394",4,"10A",18,"1",2009,4,2.8542672075,"1_4"
"395",2,"10A",19,"1",2010,4,2.9653354688,"1_4"
"396",2,"10A",20,"1",2011,4,2.9743773189,"1_4"
"397",1,"10A",21,"1",2012,4,3.3214701485,"1_4"
"398",1,"10A",22,"1",2013,4,3.2801982809,"1_4"
"399",5,"10A",23,"1",2014,4,3.3759148419,"1_4"
"400",0,"10A",3,"1",1994,5,0.5299356119,"1_5"
"401",2,"10A",4,"1",1995,5,0.8849982973,"1_5"
"402",1,"10A",5,"1",1996,5,1.0577524654,"1_5"
"403",3,"10A",6,"1",1997,5,1.4026892689,"1_5"
"404",3,"10A",7,"1",1998,5,1.6907803695,"1_5"
"405",0,"10A",8,"1",1999,5,1.6008199623,"1_5"
"406",5,"10A",9,"1",2000,5,1.8670167146,"1_5"
"407",3,"10A",10,"1",2001,5,2.1603228163,"1_5"
"408",2,"10A",11,"1",2002,5,1.962997874,"1_5"
"409",0,"10A",12,"1",2003,5,2.0470538462,"1_5"
"410",4,"10A",13,"1",2004,5,2.3845356048,"1_5"
"411",5,"10A",14,"1",2005,5,2.4554558534,"1_5"
"412",3,"10A",15,"1",2006,5,2.5303419094,"1_5"
"413",3,"10A",16,"1",2007,5,2.5458951017,"1_5"
"414",11,"10A",17,"1",2008,5,2.8847794915,"1_5"
"415",6,"10A",18,"1",2009,5,2.9096859172,"1_5"
"416",10,"10A",19,"1",2010,5,3.1117955825,"1_5"
"417",8,"10A",20,"1",2011,5,3.2618377397,"1_5"
"418",4,"10A",21,"1",2012,5,3.3710067857,"1_5"
"419",5,"10A",22,"1",2013,5,3.7226632979,"1_5"
"420",6,"10A",23,"1",2014,5,3.6888090317,"1_5"
"421",0,"10B",3,"0",1994,1,3.2372613781,"0_1"
"422",1,"10B",4,"0",1995,1,3.309206358,"0_1"
"423",0,"10B",5,"0",1996,1,3.3685549554,"0_1"
"424",0,"10B",6,"0",1997,1,3.3883355848,"0_1"
"425",0,"10B",7,"0",1998,1,3.3857479579,"0_1"
"426",0,"10B",8,"0",1999,1,3.3919888131,"0_1"
"427",0,"10B",9,"0",2000,1,3.344126142,"0_1"
"428",0,"10B",10,"0",2001,1,3.308073347,"0_1"
"429",1,"10B",11,"0",2002,1,3.267262325,"0_1"
"430",0,"10B",12,"0",2003,1,3.2504270797,"0_1"
"431",0,"10B",13,"0",2004,1,3.2355729128,"0_1"
"432",0,"10B",14,"0",2005,1,3.2140011829,"0_1"
"433",1,"10B",15,"0",2006,1,3.1933477966,"0_1"
"434",0,"10B",16,"0",2007,1,3.1851704932,"0_1"
"435",0,"10B",17,"0",2008,1,3.1577833678,"0_1"
"436",0,"10B",18,"0",2009,1,3.1875210331,"0_1"
"437",0,"10B",19,"0",2010,1,3.171396719,"0_1"
"438",0,"10B",20,"0",2011,1,3.1579784711,"0_1"
"439",0,"10B",21,"0",2012,1,3.1088212313,"0_1"
"440",1,"10B",22,"0",2013,1,3.0697726219,"0_1"
"441",0,"10B",23,"0",2014,1,2.9597106602,"0_1"
"442",1,"10B",3,"0",1994,4,15.665018012,"0_4"
"443",0,"10B",4,"0",1995,4,15.597572349,"0_4"
"444",0,"10B",5,"0",1996,4,15.593949224,"0_4"
"445",0,"10B",6,"0",1997,4,15.660884235,"0_4"
